Id,Type,Abbriv,Full Name En,Full Name Zh,Full Name Jp,Short Name En,Short Name Zh,Short Name Jp
兽王园音乐名,Game,UDoALG,Touhou Juuouen ~ Unfinished Dream of All Living Ghost,东方兽王园 ~ Unfinished Dream of All Living Ghost,東方獣王園 ~ Unfinished Dream of All Living Ghost,Unfinished Dream of All Living Ghost,东方兽王园,東方獣王園
弹幕狂音乐名,Game,HBM,Bulletphilia-tachi no Yami-Ichiba ~ 100th Black Market,弹幕狂们的黑市 ~ 100th Black Market,バレットフィリア達の闇市場 ~ 100th Black Market,100th Black Market,弹幕狂们的黑市,バレットフィリア達の闇市場
刚欲异闻音乐名,Game,SCJ,Touhou Gouyoku Ibun ~ Suibotsushita Chinshuu Jigoku,东方刚欲异闻 ~ 被水淹没的沉愁地狱,東方剛欲異聞 ~ 水没した沈愁地獄,Touhou Gouyoku Ibun,东方刚欲异闻,東方剛欲異聞
天空璋音乐名,Game,HSiFS,Touhou Tenkuushou ~ Hidden Star in Four Seasons,东方天空璋 ~ Hidden Star in Four Seasons,東方天空璋 ~ Hidden Star in Four Seasons,Hidden Star in Four Seasons,东方天空璋,東方天空璋
凭依华音乐名,Game,AoCF,Touhou Hyouibana ~ Antinomy of Common Flowers,东方凭依华 ~ Antinomy of Common Flowers,東方憑依華 ~ Antinomy of Common Flowers,Antinomy of Common Flowers,东方凭依华,東方憑依華
外来韦编音乐名,CD-Side,SCoOW,Touhou Gairai Ihen ~ Strange Creators of Outer World,东方外来韦编 ~ Strange Creators of Outer World.,東方外來韋編 ~ Strange Creators of Outer World,Strange Creators of Outer World,东方外来韦编,東方外來韋編
噩梦日记音乐名,Game,VD,Hifuu Nightmare Diary ~ Violet Detector,秘封噩梦日记 ~ Violet Detector,秘封ナイトメアダイアリー ~ Violet Detector,Violet Detector,噩梦日记,ナイトメアダイアリー
虹色的北斗七星音乐名,CD,RCS,Rainbow-Colored Septentrion,虹色的北斗七星,虹色のセプテントリオン,Rainbow-Colored Septentrion,虹色的北斗七星,虹色のセプテントリオン
幺乐团1音乐名,CD,AUSv1,History of Yougakudan 1 ~ Akyu's Untouched Score vol.1,幺乐团的历史 ~ Akyu's Untouched Score vol.1,幺樂団の歴史1 ~ Akyu's Untouched Score vol.1,Akyu's Untouched Score vol.1,Akyu's Untouched Score vol.1,Akyu's Untouched Score vol.1
幺乐团2音乐名,CD,AUSv2,History of Yougakudan 2 ~ Akyu's Untouched Score vol.2,幺乐团的历史 ~ Akyu's Untouched Score vol.2,幺樂団の歴史2 ~ Akyu's Untouched Score vol.2,Akyu's Untouched Score vol.2,Akyu's Untouched Score vol.2,Akyu's Untouched Score vol.2
幺乐团3音乐名,CD,AUSv3,History of Yougakudan 3 ~ Akyu's Untouched Score vol.3,幺乐团的历史 ~ Akyu's Untouched Score vol.3,幺樂団の歴史3 ~ Akyu's Untouched Score vol.3,Akyu's Untouched Score vol.3,Akyu's Untouched Score vol.3,Akyu's Untouched Score vol.3
