0,DJ megamixes & crossfade demos
1,Bright rock/synth arranges
2,Vocal pop & denpa
3,Nonstop hardcore mixes
4,J-rock/pop vocals
5,Makina & hardcore rave
6,Kawaii future bass
7,Vocal EDM
8,Instrumental trance
9,Happy hardcore megamixes
10,Uplifting trance & eurobeat
11,Melodic house
12,Game-synth medleys
13,Instrumental metal/rock
14,R&B-tinged pop
15,Vocal rock/pop
16,Techno & trance
17,Mixed band/orchestral
18,Fast game-synth arranges
19,Bright vocal rock
20,Dark vocal rock
21,Heavy instrumental metal
22,Grand orchestral
23,Hard dance
24,Disco & band funk
25,Soft ballads & folk
26,Martial orchestral
27,Chamber strings & ballads
28,Extreme metal
29,Solo piano (emotive)
30,Jazz & bossa
31,Funk/house groove
32,Violin classical & waltz
33,Future bass & dubstep
34,Solo piano (classical)
35,Live recordings
36,Ska & symphonic rock
37,Hard techno & breakcore
38,Lo-fi oddities
39,Music box & gentle acoustic
40,Latin/world groove
41,Tango & waltz ballads
42,Voice dramas & rap
43,Music box miniatures
44,Chiptune & PC-98 retro
45,Electronic groove/IDM
46,Voice dramas with SE
47,Quiet oddments
