cluster,n_scored,top_by_lift,top_raw,medoid_titles
0,16,vocal trance (+0.91); choir (+0.84); cinematic epic (+0.83); dubstep (+0.80); trance (+0.79),happy hardcore; vocal trance; denpa,Special Megamix / SPECIAL MEGAMIX / For you クロスフェードデモ
1,16,retro game synth (+1.03); symphonic metal (+0.75); disco (+0.69); harpsichord baroque (+0.61); vocal rock (+0.56),vocal rock; happy hardcore; vocal pop,Immoral Sister ～紅に染まる片翼 / 凋叶棕 - Q / 焔の海
2,16,vocal pop (+0.79); happy hardcore (+0.74); vocal trance (+0.65); electro swing (+0.63); denpa (+0.60),happy hardcore; vocal pop; denpa,∀ＫＢ抜総選挙 ～目指せセンター！～ / 蔷薇偶像(Live at ©Gensokyo武道馆) / 音轨序号05
3,16,eurodance (+1.13); breakcore (+1.07); happy hardcore (+1.06); eurobeat (+1.02); electro swing (+1.00),happy hardcore; vocal trance; denpa,"TOHO Gomennasai MIX - hu-zin / Live @ Sampling Business 2 (Nov 30, 2024) / Bonus Track"
4,16,vocal rock (+1.59); vocal pop (+1.22); denpa (+0.96); happy hardcore (+0.95); ska (+0.88),vocal rock; vocal pop; happy hardcore,純真Velvet / 森羅万象スターターメドレー2022 / 花
5,16,trance (+1.27); eurobeat (+1.24); drum and bass (+1.22); techno (+1.10); breakcore (+1.10),happy hardcore; trance; vocal trance,Special DJ Mix Disc / TOHO Gomennasai MIX - pocotan / Makina VS Hardcore VS Toho Project
6,16,kawaii edm (+1.46); future bass (+1.36); vocal trance (+1.19); eurodance (+1.04); dubstep (+0.92),vocal pop; vocal trance; happy hardcore,ボカロEDM10 HEAVY & SWEET DEMO / ボカロEDM10 HEAVY & SWEET DEMO / ボカロEDM6 13Track
7,16,vocal trance (+1.23); happy hardcore (+1.04); a cappella (+1.04); vocal pop (+1.03); kawaii edm (+0.98),happy hardcore; vocal pop; denpa,EDM5 15Track / 東方ベストEDM2 15Track / こなぐすり 幽閉樂祭 2012 スペシャルメドレー
8,16,trance (+1.42); eurodance (+1.29); house (+1.02); techno (+1.01); ambient (+0.95),trance; vocal trance; happy hardcore,TOHO INST EDM7 11Track / ☆Sped Star DeluXe☆ -The MEDLEY OF KIRBY SSDX2- / 想起 -Girl Revolution-
9,16,happy hardcore (+1.41); vocal trance (+1.39); eurodance (+1.26); a cappella (+1.24); choir (+1.24),happy hardcore; denpa; vocal trance,Non-Stop Mega Mix By DJ Katsu / Special Megamix By DJ もっちー / Special Non-Stop Mix by DJ S'RON
10,16,trance (+1.36); eurobeat (+1.17); techno (+1.03); eurodance (+1.01); hardstyle (+0.94),happy hardcore; trance; eurobeat,"Sensation In The Sky 30min Nonstop Mix / Last Dance / SBFR-0103 ""TRUE COLORS 3"" Cross Fade Sample"
11,16,house (+1.16); eurodance (+1.01); trance (+0.92); ambient (+0.89); disco (+0.81),trance; happy hardcore; vocal trance,Super Rabbit / Attack Like a Flying Bird / タイムパラドックス
12,16,retro game synth (+0.95); trance (+0.71); eurodance (+0.71); disco (+0.66); eurobeat (+0.61),happy hardcore; vocal pop; vocal rock,Touhou Extra Bosses Fusion Collab / 時よ無常なる彼方へ / Scarlet Breaks Medley
13,16,metal (+1.47); symphonic metal (+1.44); instrumental rock (+1.42); vocal rock (+1.14); post-rock (+0.96),vocal rock; symphonic metal; happy hardcore,ハピスクお試しcrossfade demo / Resolution / Another rain
14,16,r&b (+0.92); electro swing (+0.91); vocal pop (+0.87); kawaii edm (+0.79); hip-hop (+0.78),vocal pop; denpa; happy hardcore,TAM3-0108 東方弦奏歌-VARIABLE- CROSSFADE REMIX / TAM3-0119 東方弦奏歌-OCTAVE- CROSSFADE REMIX / あたいの最強のライブ
15,16,wagakki (+0.50); vocal pop (+0.45); r&b (+0.40); celtic folk (+0.37); vocal rock (+0.37),vocal pop; vocal rock; happy hardcore,Invitations to... / 少女期の終わりに / A-9's reincarnation
16,16,techno (+1.19); trance (+1.19); eurodance (+1.18); house (+0.97); hardstyle (+0.94),trance; happy hardcore; vocal trance,東方インストEDM10 [DISC1]クロスフェードデモ / Rolling Contact Promotion Mix 2017 / 東方インストEDM2 クロスフェードデモ
17,16,post-rock (+0.57); orchestral (+0.55); brass march (+0.49); funk (+0.48); symphonic metal (+0.43),vocal rock; symphonic metal; disco,明日カレーの日、ゲゲゲの鬼次郎 / 始原のビート 〜 Pristine Beat -オーケストラ- / Carezza
18,16,eurobeat (+0.78); drum and bass (+0.75); speedcore (+0.68); chiptune (+0.68); retro game synth (+0.67),happy hardcore; vocal rock; denpa,Restrict Extra Play / 七星の剣 / AREA CODE(CYBERIA MIX)
19,16,vocal rock (+1.64); instrumental rock (+1.29); metal (+1.28); symphonic metal (+1.27); ska (+1.01),vocal rock; happy hardcore; vocal pop,Rainbow Sky! / Rainbow Sky / SEE YOU AGAIN!
20,16,vocal rock (+1.56); vocal pop (+1.04); denpa (+0.89); instrumental rock (+0.78); happy hardcore (+0.77),vocal rock; vocal pop; happy hardcore,亡きふたりのための / 月虹リミテッド・アワー / 累々たる死の肖像
21,16,metal (+1.48); instrumental rock (+1.29); symphonic metal (+1.27); post-rock (+0.94); vocal rock (+0.87),vocal rock; symphonic metal; happy hardcore,Venus <Another Phaze Mix> / Venus <Another Phaze Mix> / 記憶の欠片
22,16,orchestral (+1.82); violin classical (+1.14); brass march (+1.02); waltz (+0.95); pipe organ (+0.82),symphonic metal; violin classical; pipe organ,三千大世界の聖火／原曲：感情の摩天楼　～ Cosmic Mind / Memories of Scarlet ～紅の記憶 / 四季映像 ～Legend of Xanadu
23,16,drum and bass (+1.21); techno (+1.16); hardstyle (+1.15); breakcore (+1.15); eurobeat (+1.10),happy hardcore; trance; eurobeat,AGGRESSIVE MEGA-MIX #05 / TechDance arrange promotion tracks / AGGRESSIVE MEGA-MIX #06
24,16,disco (+0.76); funk (+0.64); big band (+0.64); symphonic metal (+0.58); post-rock (+0.58),vocal rock; vocal pop; disco,クロスフェード1 / 妖魔夜行 / 月時計 ～ ルナ・ダイアル
25,16,vocal ballad (+0.78); r&b (+0.78); celtic folk (+0.72); retro game synth (+0.70); denpa (+0.67),denpa; vocal pop; vocal rock,あの日の夢のアリス ～DAY DREAM / 月の姫、永遠の姫 -世界と１人のひねくれ者- / Pikinini Kumul
26,16,orchestral (+1.70); brass march (+1.38); big band (+0.93); cinematic epic (+0.87); violin classical (+0.83),symphonic metal; retro game synth; violin classical,上海アリス幻楽団サンプル / Dismantled Pandora's Box / 妖々夢
27,16,orchestral (+1.22); violin classical (+1.13); waltz (+0.75); vocal ballad (+0.67); music box (+0.58),vocal ballad; violin classical; vocal rock,山犬の夢 / 胡桃·恶魔红响曲 / 聖樹
28,16,metal (+2.35); symphonic metal (+1.92); instrumental rock (+1.75); speedcore (+1.38); hardstyle (+1.24),symphonic metal; vocal rock; speedcore,やまんばの６連アタック / デザイアドライブ / Cognitohazard Mixomatosis
29,16,piano solo (+3.35); jazz (+1.18); acoustic (+1.14); synthwave (+1.08); tango (+0.84),piano solo; pipe organ; jazz,少女幻奏 / ラストリモート / 現し夜の帰りみち
30,16,jazz (+1.28); bossa nova (+0.99); big band (+0.67); tango (+0.61); harpsichord baroque (+0.54),electro swing; jazz; vocal rock,Marionette -酔いに踊れ- / さとりのティーブレイク / As Time Goes By
31,16,funk (+1.32); reggae (+0.86); electro swing (+0.83); jazz (+0.77); lo-fi (+0.68),electro swing; disco; happy hardcore,tohomania Forever 1st[tohomania NONSTOP MEGAMIX] / House Set of 東方天空璋 (2017 WIP) / Usimitsu3 rivers
32,16,violin classical (+1.33); waltz (+1.28); tango (+0.92); orchestral (+0.69); music box (+0.64),denpa; waltz; happy hardcore,Lover's Scope　～⑥色ビーズと記憶の欠片 / 寂然の見世物 / つないだ右手と空の左手
33,16,future bass (+1.33); kawaii edm (+1.20); dubstep (+0.96); breakcore (+0.77); vocal trance (+0.74),happy hardcore; vocal trance; vocal pop,Amadeus / ジェリーストーン / Decryption of The Lost Era
34,16,piano solo (+3.35); jazz (+1.22); harpsichord baroque (+1.08); music box (+0.91); house (+0.91),piano solo; harpsichord baroque; pipe organ,Arcanelle-Holy Parade / ネイティブフェイス(難易度:Normal) / 東方萃夢想
35,16,metal (+2.32); instrumental rock (+1.65); symphonic metal (+1.59); bossa nova (+1.42); post-rock (+1.27),symphonic metal; vocal rock; instrumental rock,奇子 ~Unknown Child (Live) / No Grudge Any More (Live) / DRAGON FORCE (Live)
36,16,symphonic metal (+1.12); ska (+1.04); instrumental rock (+0.96); metal (+0.86); vocal rock (+0.76),vocal rock; happy hardcore; symphonic metal,Mementoof LIfe / Shadow Shooter / the chimera
37,16,techno (+1.52); breakcore (+1.36); hardstyle (+1.19); drum and bass (+1.14); dubstep (+1.11),happy hardcore; breakcore; trance,soulgem (five mix) / BINARY FEELINGS (Separate Version) / s.c.a.r.l.e.t - instrumental -
38,16,lo-fi (+1.03); noise experimental (+0.61); electro swing (+0.60); hip-hop (+0.56); r&b (+0.55),denpa; happy hardcore; a cappella,続・妖怪の山 ～天狗は写メった！～ / まぼろし / まぼろし
39,16,music box (+1.21); wagakki (+1.03); celtic folk (+0.72); ambient (+0.69); waltz (+0.64),vocal ballad; music box; pipe organ,望郷 / 桜色コントレイル / オーラリーの残響
40,16,tango (+1.12); funk (+1.11); reggae (+1.01); bossa nova (+0.91); jazz (+0.68),electro swing; disco; pipe organ,沈く追想 / Uoon Runaway! / Uoon Runaway!
41,16,tango (+0.92); lo-fi (+0.79); orchestral (+0.79); waltz (+0.78); music box (+0.76),vocal ballad; pipe organ; waltz,夢のつづき (カラオケ) / The Other~Dreams-Ending 2 姬出 / Capella
